BREEZE-M;R/B;;;;;;;
1;38746U;12044C;16151.13579;0.00009418;00000-0;60190-3;0;9996
2;38746;49.6858;15.9935;2455412;112.2974;275.5138;10.39809238;
BREEZE-M;DEB;;;;;;;
1;38880U;12044M;16152.14899;0.00084147;58832-5;10449-2;0;9993
2;38880;49.8138;43.758;1297825;307.4608;41.4935;13.06487468;
BREEZE-M;DEB;;;;;;;
1;38881U;12044N;16152.19213;0.00100248;66228-5;10037-2;0;9992
2;38881;50.4577;229.031;1480431;35.9463;333.2404;12.69608057;
BREEZE-M;DEB;;;;;;;
1;38884U;12044R;16151.81139;0.00019105;25460-5;56333-3;0;9994
2;38884;50.007;271.7864;2382953;149.4807;226.9417;10.65620121;
BREEZE-M;DEB;;;;;;;
1;38886U;12044T;16151.20595;0.00166415;11259-4;12943-2;0;9994
2;38886;49.9231;209.0635;869935;76.175;293.4324;14.07105155;
BREEZE-M;DEB;;;;;;;
1;38888U;12044V;16151.82744;0.00027681;34528-5;61743-3;0;9993
2;38888;50.05;48.1319;2022365;325.8527;22.6962;11.43793918;
BREEZE-M;DEB;;;;;;;
1;38890U;12044X;16152.17432;0.00728228;96548-5;18347-2;0;9998
2;38890;50.0026;359.6119;316034;234.0585;123.068;15.44939063;
BREEZE-M;DEB;;;;;;;
1;38906U;12044AP;16152.16214;0.00121147;89706-5;10419-2;0;9995
2;38906;49.9445;59.3178;836848;206.7011;148.8397;14.12989341;
BREEZE-M;DEB;;;;;;;
1;38921U;12044BE;16152.1705;0.00021608;35397-5;41173-3;0;9996
2;38921;50.2409;93.6948;1881388;255.9295;82.6298;11.7569863;
BREEZE-M;DEB;;;;;;;
1;38922U;12044BF;16151.48486;0.00014457;24300-5;37490-3;0;9995
2;38922;50.0737;186.5409;2256026;209.1086;136.3027;10.9347416;
BREEZE-M;DEB;;;;;;;
1;38926U;12044BK;16151.49391;0.00042613;48770-5;84386-3;0;9991
2;38926;50.0144;312.5082;1868171;44.4402;329.1957;11.7777703;
BREEZE-M;DEB;;;;;;;
1;38948U;12044CH;16151.8471;0.00034483;41126-5;73873-3;0;9992
2;38948;50.0871;2.1814;1940685;357.0456;2.0134;11.614516;
BREEZE-M;DEB;;;;;;;
1;38957U;12044CQ;16131.45186;0.00036717;33269-5;76621-3;0;9991
2;38957;50.0391;148.5861;2007904;245.4023;92.5086;11.47553744;
BREEZE-M;DEB;;;;;;;
1;38960U;12044CT;16151.29982;0.00017993;28406-5;43906-3;0;9996
2;38960;50.1472;137.179;2096045;240.425;97.1689;11.27371082;
BREEZE-M;DEB;;;;;;;
1;38961U;12044CU;16151.47612;0.00036083;41687-5;75406-3;0;9994
2;38961;50.1059;355.2681;1938956;0.0344;0.0343;11.62130287;